TOTAL CLIENTES;TOTAL ATENDIDOS;DESERTADOS;PROMEDIO INTERMEDIO;PROMEDIO DE SERVICIO;PROMEDIO DE RETRASO;PROMEDIO DE ESPERA
50;18;32;3.08;1.26;0;1.26
50;16;34;2.9;1.3;0;1.3
50;16;34;2.94;1.38;0;1.38
50;17;33;3.54;1.12;0;1.12
50;17;33;3.08;1.1;0;1.1
50;19;31;3.48;1.5;0;1.5
50;16;34;3.12;1.28;0;1.28
50;20;30;3.26;1.22;0;1.22
50;21;29;2.82;1.22;0;1.22
50;20;30;3.28;1.36;0;1.36
50;22;28;3.54;1.36;0;1.36
50;19;31;3.04;1.14;0;1.14
50;16;34;3.04;1.24;0;1.24
50;21;29;3.44;1.44;0;1.44
50;18;32;3.54;1.68;0;1.68
50;18;32;3.34;1.32;0;1.32
50;20;30;2.9;1.14;0;1.14
50;18;32;3.26;1.2;0;1.2
50;17;33;3.6;1.3;0;1.3
50;17;33;2.94;1.56;0;1.56
50;18;32;3.24;1.38;0;1.38
50;17;33;2.74;1.36;0;1.36
50;15;35;2.76;1.32;0;1.32
50;18;32;3.36;1.44;0;1.44
50;19;31;2.44;1.24;0;1.24
50;18;32;3.06;1.3;0;1.3
50;14;36;3.3;1.22;0;1.22
50;15;35;2.88;1.36;0;1.36
50;20;30;3.62;1.36;0;1.36
50;19;31;2.92;1.3;0;1.3
50;19;31;3.28;1.44;0;1.44
50;18;32;3.38;1.42;0;1.42
50;12;38;2.44;1.22;0;1.22
50;12;38;2.52;1.1;0;1.1
50;19;31;3.44;1.4;0;1.4
50;20;30;3.42;1.28;0;1.28
50;17;33;2.82;1.34;0;1.34
50;16;34;2.68;1.12;0;1.12
50;17;33;3.32;1.28;0;1.28
50;16;34;3.44;1.12;0;1.12
50;18;32;3.46;1.16;0;1.16
50;15;35;3.58;1.16;0;1.16
50;19;31;2.9;1.38;0;1.38
50;17;33;2.98;1.42;0;1.42
50;23;27;3.2;1.28;0;1.28
50;17;33;3.52;1.18;0;1.18
50;19;31;2.78;1.32;0;1.32
50;17;33;3.6;1.32;0;1.32
50;17;33;2.52;1.22;0;1.22
50;18;32;3.78;1.24;0;1.24
50;22;28;3.64;1.62;0;1.62
50;19;31;3.02;1.2;0;1.2
50;18;32;3.42;1.38;0;1.38
50;17;33;3.02;1.3;0;1.3
50;17;33;2.82;1.28;0;1.28
50;17;33;2.8;1.34;0;1.34
50;18;32;3.14;1.34;0;1.34
50;16;34;2.98;1.42;0;1.42
50;15;35;2.7;1.24;0;1.24
50;18;32;3.04;1.34;0;1.34
50;20;30;3.7;1.34;0;1.34
50;19;31;3.72;1.46;0;1.46
50;21;29;2.72;1.26;0;1.26
50;18;32;2.92;1.3;0;1.3
50;14;36;2.52;1.18;0;1.18
50;19;31;4.14;1.2;0;1.2
50;17;33;2.72;1.24;0;1.24
50;16;34;2.9;1.46;0;1.46
50;16;34;2.46;1.1;0;1.1
50;19;31;3.98;1.34;0;1.34
50;13;37;2.78;1.1;0;1.1
50;13;37;2.08;1.24;0;1.24
50;20;30;3.66;1.48;0;1.48
50;17;33;2.34;1.26;0;1.26
50;16;34;2.74;1.12;0;1.12
50;19;31;3.62;1.62;0;1.62
50;15;35;3.06;1.22;0;1.22
50;15;35;2.58;1.12;0;1.12
50;15;35;3.48;1.26;0;1.26
50;20;30;2.84;1.16;0;1.16
50;19;31;3.12;1.32;0;1.32
50;13;37;2.56;1.08;0;1.08
50;15;35;2.52;1.08;0;1.08
50;15;35;2.76;1.1;0;1.1
50;21;29;2.64;1.26;0;1.26
50;16;34;2.86;1.26;0;1.26
50;16;34;2.98;1.14;0;1.14
50;14;36;3.08;1.22;0;1.22
50;21;29;3.36;1.22;0;1.22
50;13;37;2.22;1.02;0;1.02
50;22;28;3.2;1.28;0;1.28
50;19;31;2.92;1.36;0;1.36
50;16;34;3.22;1.16;0;1.16
50;19;31;2.8;1.22;0;1.22
50;17;33;3.1;1.36;0;1.36
50;20;30;3.26;1.52;0;1.52
50;16;34;3.38;1.3;0;1.3
50;16;34;2.88;1.42;0;1.42
50;15;35;2.6;1.18;0;1.18
50;21;29;2.78;1.3;0;1.3
5000;1748;3252;;;;128.52
;0.3496;0.6504;;;;0.025704
;34.96;65.04;;;;2.5704
